Time (s)	[F-actin] M	[G-act] (0)	[G-act] (t)
4105.01	1.8526E-06	0.000002	1.47402E-07
4115.02	1.85744E-06	0.000002	1.42559E-07
4125.02	1.84664E-06	0.000002	1.53363E-07
4135.01	1.84339E-06	0.000002	1.5661E-07
4145.02	1.83853E-06	0.000002	1.61467E-07
4155.02	1.85437E-06	0.000002	1.45626E-07
4165.01	1.86295E-06	0.000002	1.37048E-07
4175.02	1.85384E-06	0.000002	1.46155E-07
4185.02	1.85832E-06	0.000002	1.41678E-07
4195.01	1.85449E-06	0.000002	1.45513E-07
4205.01	1.85987E-06	0.000002	1.40133E-07
4215.02	1.86422E-06	0.000002	1.35776E-07
4225.01	1.87268E-06	0.000002	1.27317E-07
4235.02	1.87794E-06	0.000002	1.22055E-07
4245.02	1.87868E-06	0.000002	1.21322E-07
4255.02	1.87649E-06	0.000002	1.23513E-07
4265.02	1.86914E-06	0.000002	1.3086E-07
4275.02	1.88111E-06	0.000002	1.18886E-07
4285.02	1.88329E-06	0.000002	1.16712E-07
4295.01	1.8636E-06	0.000002	1.36398E-07
4305.01	1.87428E-06	0.000002	1.25724E-07
4315.02	1.87428E-06	0.000002	1.2572E-07
4325.01	1.87059E-06	0.000002	1.29409E-07
4335.02	1.87778E-06	0.000002	1.22223E-07
4345.01	1.88115E-06	0.000002	1.1885E-07
4355	1.8941E-06	0.000002	1.05902E-07
4365.02	1.89822E-06	0.000002	1.01776E-07
4375.02	1.88344E-06	0.000002	1.16558E-07
4385.02	1.88456E-06	0.000002	1.15436E-07
4395.01	1.89151E-06	0.000002	1.08489E-07
4405.02	1.89298E-06	0.000002	1.0702E-07
4415.01	1.88974E-06	0.000002	1.10261E-07
4425.01	1.88918E-06	0.000002	1.10816E-07
4435.02	1.88749E-06	0.000002	1.12513E-07
4445.03	1.8898E-06	0.000002	1.10196E-07
4455.01	1.89382E-06	0.000002	1.06177E-07
4465.01	1.88876E-06	0.000002	1.11241E-07
4475.02	1.89802E-06	0.000002	1.01976E-07
4485.01	1.88854E-06	0.000002	1.11462E-07
4495.01	1.89891E-06	0.000002	1.01089E-07
4505.01	0.0000019	0.000002	1E-07
